Processed 10000
Processed 20000
Processed 30000
Processed 40000
Processed 50000
Processed 60000
Processed 70000
Processed 80000
Processed 90000
Processed 100000
Processed 110000
Processed 120000
Processed 130000
Processed 140000
Processed 150000
Processed 160000
Processed 170000
Processed 180000
Processed 190000

Finished processing.

===== Flow Statistics =====
Total packets: 191685
Lost segments: 498

===== MLT Summary =====
Total MLT samples: 15851
1772359232.526329 | ('183.172.73.211', 55630, '170.178.162.203', 50443) | type=syn | MLT=0.186955
1772359232.526672 | ('170.178.162.203', 50443, '183.172.73.211', 55630) | type=syn | MLT=0.000343
1772359232.71438 | ('183.172.73.211', 55630, '170.178.162.203', 50443) | type=data | MLT=0.185746
1772359232.721049 | ('170.178.162.203', 50443, '183.172.73.211', 55630) | type=b2b | MLT=0.000245
1772359232.938698 | ('183.172.73.211', 55630, '170.178.162.203', 50443) | type=data | MLT=0.199968
1772359232.938946 | ('170.178.162.203', 50443, '183.172.73.211', 55630) | type=data | MLT=0.000248
1772359233.124322 | ('183.172.73.211', 55630, '170.178.162.203', 50443) | type=data | MLT=0.185376
1772359233.12459 | ('170.178.162.203', 50443, '183.172.73.211', 55630) | type=data | MLT=0.000268
1772359233.310032 | ('170.178.162.203', 50443, '183.172.73.211', 55630) | type=data | MLT=0.000254
1772359233.500662 | ('183.172.73.211', 55630, '170.178.162.203', 50443) | type=b2b | MLT=0.185429
1772359233.696693 | ('183.172.73.211', 55068, '170.178.162.203', 50443) | type=b2b | MLT=0.193689
1772359233.721596 | ('170.178.162.203', 50443, '183.172.73.211', 55068) | type=data | MLT=0.000124
1772359234.001725 | ('42.186.118.14', 443, '183.172.73.211', 51512) | type=data | MLT=6.4e-05
1772359234.006181 | ('170.178.162.203', 50443, '183.172.73.211', 54482) | type=data | MLT=8.2e-05
1772359234.010663 | ('183.172.73.211', 53911, '121.194.11.75', 443) | type=data | MLT=0.009683
1772359234.03858 | ('183.172.73.211', 51512, '42.186.118.14', 443) | type=data | MLT=0.036335
1772359234.140388 | ('183.172.73.211', 55156, '121.194.1.25', 443) | type=data | MLT=0.009799
1772359234.140482 | ('121.194.1.25', 443, '183.172.73.211', 55156) | type=data | MLT=9.4e-05
1772359234.192153 | ('121.194.11.75', 443, '183.172.73.211', 53911) | type=b2b | MLT=0.000128
1772359234.219567 | ('121.194.11.75', 443, '183.172.73.211', 53911) | type=b2b | MLT=0.000149
1772359234.219631 | ('121.194.11.75', 443, '183.172.73.211', 53911) | type=b2b | MLT=0.000198
1772359234.248244 | ('121.194.11.75', 443, '183.172.73.211', 53911) | type=b2b | MLT=0.000101
